requirement_id,user_role,scenario,user_need,evidence_type,value_score,risk_score,effort_score,priority,acceptance_summary,status
R001,HR,岗位需求确认,把口头需求拆成职责必备项加分项和待澄清问题,真实实习流程+竞品,5,2,2,P0,输入JD后输出结构化岗位画像,部分实现（规则库支持范围）
R002,HR,岗位需求确认,调整每项要求的类型和权重,产品假设+竞品,5,2,2,P0,用户可编辑必备项和权重,部分实现（可展示和自动归一，暂不可保存编辑）
R003,HR,简历导入,上传PDF或DOCX脱敏简历,真实实习流程+竞品,5,4,3,P0,支持单份文件并显示解析结果,待开发
R004,HR,批量初筛,一次导入多份脱敏简历,真实实习流程,5,4,3,P0,支持至少5份测试简历,部分实现（内置5份测试数据，暂不支持导入）
R005,HR,硬条件判断,对学历年限地点和必备技能进行确定性校验,岗位样本+产品假设,5,3,2,P0,输出满足不满足未发现待核验,已实现规则基线
R006,HR,语义匹配,识别项目经历对岗位能力的真实支撑,官方岗位+竞品,5,4,4,P0,逐项返回简历原文证据和理由,部分实现（规则证据匹配，未接大模型语义）
R007,HR,结果理解,查看匹配证据缺口风险和置信度,竞品空白假设,5,3,3,P0,每项判断可回溯证据,已实现规则基线
R008,HR,候选人比较,按确认后的标准比较候选人,真实实习流程+竞品,5,4,3,P0,列表展示排序和关键差异且不自动淘汰,部分实现（排序列表已完成，横向对比未完成）
R009,业务面试官,面试准备,根据未确认能力生成针对性面试问题,真实实习流程+官方岗位,5,2,2,P0,每个问题关联岗位要求与候选人证据,已实现规则基线
R010,HR,结果校准,修正模型判断并记录反馈,竞品+AI风险,5,2,3,P0,支持准确不准确待核验反馈,部分实现（交互已展示，反馈暂不持久化）
R011,HR,结果交付,导出候选人分析报告,真实实习流程,4,2,2,P0,支持导出结构化结果,待开发
R012,HR,无API环境,使用规则基线完成基础筛选,技术可用性,4,1,2,P0,未配置模型时仍可运行,已实现
R013,HR,数据保护,删除上传文件并默认最小化保存,合规要求,5,5,3,P0,会话结束可清除原文件和结果,部分实现（仅浏览器临时计算，无文件上传或持久化）
R014,HR,系统接入,导入飞书招聘或ATS导出的CSV,用户新增需求+竞品,4,4,3,P1,按字段模板导入候选人,待规划
R015,HR,历史人才库,重新匹配已授权历史候选人,竞品,4,4,4,P1,支持人才库内重新排序,待规划
R016,业务面试官,协作复筛,评论和确认候选人,飞书招聘竞品,3,2,4,P1,保留复筛意见和操作者,待规划
R017,HR,评估复盘,查看模型错误类型和人工一致率,官方岗位+AI产品要求,5,2,3,P1,展示测试指标和badcase分布,部分实现（基线指标已展示，盲测与badcase分布待补）
R018,HR,岗位复用,保存岗位画像和筛选规则模板,飞书模板+Moka,3,2,3,P1,可复制历史岗位配置,待规划
R019,HR,平台搜寻,通过官方授权接口搜索候选人,用户新增需求,5,5,5,P2,获得平台许可后才启用,受外部授权阻塞
R020,HR,候选人沟通,自动发送邀约和安排面试,竞品,3,5,5,P2,需要平台授权和人工确认,本期不做
